,neighbor,probability,distance,reference,id,perm
160,Choroid,0.9313613,286.42856,Astrocytes,0,1
161,Choroid,0.98690873,306.8163,Astrocytes,0,1
162,Choroid,0.8987628,327.20407,Astrocytes,0,1
163,Choroid,1.0538118,347.59183,Astrocytes,0,1
164,Choroid,1.1860209,367.97958,Astrocytes,0,1
165,Choroid,1.0684359,388.36734,Astrocytes,0,1
166,Choroid,1.2575655,408.7551,Astrocytes,0,1
167,Choroid,1.0514203,429.14285,Astrocytes,0,1
168,Choroid,1.2579943,449.5306,Astrocytes,0,1
169,Choroid,1.309317,469.91837,Astrocytes,0,1
170,Choroid,1.5318848,490.30612,Astrocytes,0,1
171,Choroid,1.2856556,510.69388,Astrocytes,0,1
172,Choroid,0.86518884,531.0816,Astrocytes,0,1
173,Choroid,0.9844486,551.46936,Astrocytes,0,1
174,Choroid,1.4085172,571.8571,Astrocytes,0,1
175,Choroid,1.3020802,592.2449,Astrocytes,0,1
176,Choroid,1.4289672,612.6326,Astrocytes,0,1
177,Choroid,1.0986975,633.0204,Astrocytes,0,1
178,Choroid,1.4128513,653.40814,Astrocytes,0,1
179,Choroid,1.1383475,673.7959,Astrocytes,0,1
180,Choroid,1.4955959,694.18365,Astrocytes,0,1
181,Choroid,1.4256028,714.5714,Astrocytes,0,1
182,Choroid,1.1465341,734.95917,Astrocytes,0,1
183,Choroid,1.5986624,755.3469,Astrocytes,0,1
184,Choroid,1.3330438,775.7347,Astrocytes,0,1
185,Choroid,1.4370667,796.12244,Astrocytes,0,1
186,Choroid,0.9266488,816.5102,Astrocytes,0,1
187,Choroid,1.1207914,836.89795,Astrocytes,0,1
188,Choroid,1.0965647,857.2857,Astrocytes,0,1
189,Choroid,1.1617924,877.67346,Astrocytes,0,1
190,Choroid,1.4414183,898.0612,Astrocytes,0,1
191,Choroid,1.6215798,918.449,Astrocytes,0,1
192,Choroid,1.816399,938.83673,Astrocytes,0,1
193,Choroid,1.3049805,959.2245,Astrocytes,0,1
194,Choroid,1.1886286,979.61224,Astrocytes,0,1
195,Choroid,1.326917,1000.0,Astrocytes,0,1
196,Endothelial,1.7442439,21.387754,Astrocytes,0,1
197,Endothelial,1.7685077,41.77551,Astrocytes,0,1
198,Endothelial,1.6881394,62.163265,Astrocytes,0,1
199,Endothelial,1.3976145,82.55102,Astrocytes,0,1
200,Endothelial,1.0436963,102.938774,Astrocytes,0,1
201,Endothelial,0.9776238,123.32653,Astrocytes,0,1
202,Endothelial,1.3079293,143.71428,Astrocytes,0,1
203,Endothelial,1.475587,164.10204,Astrocytes,0,1
204,Endothelial,1.3873918,184.48979,Astrocytes,0,1
205,Endothelial,1.0938989,204.87755,Astrocytes,0,1
206,Endothelial,1.1864753,225.2653,Astrocytes,0,1
207,Endothelial,1.1938152,245.65306,Astrocytes,0,1
208,Endothelial,1.0212356,266.0408,Astrocytes,0,1
209,Endothelial,1.037343,286.42856,Astrocytes,0,1
210,Endothelial,1.1605984,306.8163,Astrocytes,0,1
211,Endothelial,1.0314531,327.20407,Astrocytes,0,1
212,Endothelial,0.94505286,347.59183,Astrocytes,0,1
213,Endothelial,0.99607944,367.97958,Astrocytes,0,1
214,Endothelial,0.9225723,388.36734,Astrocytes,0,1
215,Endothelial,0.9971146,408.7551,Astrocytes,0,1
216,Endothelial,1.1246128,429.14285,Astrocytes,0,1
217,Endothelial,0.9320935,449.5306,Astrocytes,0,1
218,Endothelial,0.9397143,469.91837,Astrocytes,0,1
219,Endothelial,0.9721288,490.30612,Astrocytes,0,1
220,Endothelial,0.95275867,510.69388,Astrocytes,0,1
221,Endothelial,0.9561181,531.0816,Astrocytes,0,1
222,Endothelial,0.9306653,551.46936,Astrocytes,0,1
223,Endothelial,0.9629554,571.8571,Astrocytes,0,1
224,Endothelial,0.95898527,592.2449,Astrocytes,0,1
225,Endothelial,0.93187803,612.6326,Astrocytes,0,1
226,Endothelial,0.90098816,633.0204,Astrocytes,0,1
227,Endothelial,0.9055303,653.40814,Astrocytes,0,1
228,Endothelial,0.8963575,673.7959,Astrocytes,0,1
229,Endothelial,0.9638736,694.18365,Astrocytes,0,1
230,Endothelial,0.95382625,714.5714,Astrocytes,0,1
231,Endothelial,0.97250247,734.95917,Astrocytes,0,1
232,Endothelial,0.98714364,755.3469,Astrocytes,0,1
233,Endothelial,0.9331193,775.7347,Astrocytes,0,1
234,Endothelial,0.991069,796.12244,Astrocytes,0,1
235,Endothelial,0.9599676,816.5102,Astrocytes,0,1
236,Endothelial,0.89152765,836.89795,Astrocytes,0,1
237,Endothelial,1.0286102,857.2857,Astrocytes,0,1
238,Endothelial,0.9411065,877.67346,Astrocytes,0,1
239,Endothelial,0.9185275,898.0612,Astrocytes,0,1
240,Endothelial,0.96878713,918.449,Astrocytes,0,1
241,Endothelial,0.9736706,938.83673,Astrocytes,0,1
242,Endothelial,1.0588229,959.2245,Astrocytes,0,1
243,Endothelial,1.0728455,979.61224,Astrocytes,0,1
244,Endothelial,1.1060164,1000.0,Astrocytes,0,1
245,Ependymal,0.0,21.387754,Astrocytes,0,1
246,Ependymal,0.19357674,41.77551,Astrocytes,0,1
247,Ependymal,1.59013,62.163265,Astrocytes,0,1
248,Ependymal,0.6079176,82.55102,Astrocytes,0,1
249,Ependymal,1.0038397,102.938774,Astrocytes,0,1
250,Ependymal,1.6503685,123.32653,Astrocytes,0,1
251,Ependymal,1.3089038,143.71428,Astrocytes,0,1
252,Ependymal,1.1884983,164.10204,Astrocytes,0,1
253,Ependymal,0.9820432,184.48979,Astrocytes,0,1
254,Ependymal,0.60169435,204.87755,Astrocytes,0,1
255,Ependymal,1.1682467,225.2653,Astrocytes,0,1
256,Ependymal,0.71292156,245.65306,Astrocytes,0,1
257,Ependymal,0.7617703,266.0408,Astrocytes,0,1
258,Ependymal,1.1274774,286.42856,Astrocytes,0,1
