,neighbor,probability,distance,reference,id
213,A,0.68664503,184.30612,B,1
214,A,0.67623717,194.48979,B,1
215,A,0.66851884,204.67346,B,1
216,A,0.72577363,214.85715,B,1
217,A,0.7025471,225.04082,B,1
218,A,0.7124288,235.22449,B,1
219,A,0.7160485,245.40816,B,1
220,A,0.7366045,255.59184,B,1
221,A,0.76118964,265.7755,B,1
222,A,0.7864674,275.9592,B,1
223,A,0.7773923,286.14285,B,1
224,A,0.7822766,296.32654,B,1
225,A,0.7837114,306.5102,B,1
226,A,0.7705813,316.69388,B,1
227,A,0.7830298,326.87756,B,1
228,A,0.82728106,337.06122,B,1
229,A,0.7918817,347.2449,B,1
230,A,0.79878527,357.42856,B,1
231,A,0.80480635,367.61224,B,1
232,A,0.8153364,377.79593,B,1
233,A,0.81931394,387.97958,B,1
234,A,0.86131066,398.16327,B,1
235,A,0.86236537,408.34692,B,1
236,A,0.8816822,418.5306,B,1
237,A,0.9062257,428.7143,B,1
238,A,0.89832854,438.89795,B,1
239,A,0.9120022,449.08163,B,1
240,A,0.9199294,459.26532,B,1
241,A,0.94513595,469.44897,B,1
242,A,0.96812725,479.63266,B,1
243,A,0.98815316,489.8163,B,1
244,A,1.0102334,500.0,B,1
245,B,2.170005,11.183674,B,1
246,B,2.3957572,21.367348,B,1
247,B,2.2683513,31.55102,B,1
248,B,2.069561,41.734695,B,1
249,B,2.0561237,51.918365,B,1
250,B,2.0042543,62.10204,B,1
251,B,2.015205,72.28571,B,1
252,B,2.0864897,82.46939,B,1
253,B,1.9117604,92.65306,B,1
254,B,1.9924269,102.83673,B,1
255,B,1.9345808,113.02041,B,1
256,B,1.8219374,123.20408,B,1
257,B,1.7934114,133.38776,B,1
258,B,1.8214939,143.57143,B,1
259,B,1.8416713,153.7551,B,1
260,B,1.7737978,163.93878,B,1
261,B,1.6516685,174.12245,B,1
262,B,1.7437146,184.30612,B,1
263,B,1.7408191,194.48979,B,1
264,B,1.7643639,204.67346,B,1
265,B,1.7196429,214.85715,B,1
266,B,1.7015833,225.04082,B,1
267,B,1.6675979,235.22449,B,1
268,B,1.6749665,245.40816,B,1
269,B,1.5716398,255.59184,B,1
270,B,1.6317127,265.7755,B,1
271,B,1.5689281,275.9592,B,1
272,B,1.5502634,286.14285,B,1
273,B,1.4767313,296.32654,B,1
274,B,1.4699366,306.5102,B,1
275,B,1.5073696,316.69388,B,1
276,B,1.5862244,326.87756,B,1
277,B,1.4249424,337.06122,B,1
278,B,1.453652,347.2449,B,1
279,B,1.456408,357.42856,B,1
280,B,1.4116367,367.61224,B,1
281,B,1.3454552,377.79593,B,1
282,B,1.37268,387.97958,B,1
283,B,1.280527,398.16327,B,1
284,B,1.3046999,408.34692,B,1
285,B,1.275835,418.5306,B,1
286,B,1.2388273,428.7143,B,1
287,B,1.2358638,438.89795,B,1
288,B,1.2264888,449.08163,B,1
289,B,1.1850976,459.26532,B,1
290,B,1.141682,469.44897,B,1
291,B,1.1535456,479.63266,B,1
292,B,1.0231315,489.8163,B,1
293,B,1.0218971,500.0,B,1
294,C,1.2014321,11.183674,B,1
295,C,0.9979374,21.367348,B,1
296,C,1.091701,31.55102,B,1
297,C,1.1020212,41.734695,B,1
298,C,1.0715172,51.918365,B,1
299,C,1.0914941,62.10204,B,1
300,C,1.1076828,72.28571,B,1
301,C,1.0688194,82.46939,B,1
302,C,1.0320874,92.65306,B,1
303,C,1.0197546,102.83673,B,1
304,C,1.0403595,113.02041,B,1
305,C,1.0414501,123.20408,B,1
306,C,1.0016211,133.38776,B,1
307,C,1.0130123,143.57143,B,1
308,C,0.9771616,153.7551,B,1
309,C,1.0242563,163.93878,B,1
310,C,1.0403646,174.12245,B,1
311,C,0.99990356,184.30612,B,1
312,C,1.0008416,194.48979,B,1
313,C,1.0161201,204.67346,B,1
314,C,0.96043295,214.85715,B,1
315,C,0.98404926,225.04082,B,1
316,C,0.9869257,235.22449,B,1
317,C,0.9911631,245.40816,B,1
318,C,1.0090853,255.59184,B,1
319,C,0.986518,265.7755,B,1
320,C,0.98895913,275.9592,B,1
321,C,1.0002038,286.14285,B,1
322,C,1.0079311,296.32654,B,1
323,C,1.029064,306.5102,B,1
324,C,1.0309616,316.69388,B,1
325,C,1.0036991,326.87756,B,1
326,C,1.0050461,337.06122,B,1
327,C,1.0406588,347.2449,B,1
328,C,1.0113848,357.42856,B,1
329,C,1.0357976,367.61224,B,1
330,C,1.0668433,377.79593,B,1
331,C,1.0515555,387.97958,B,1
332,C,1.0655011,398.16327,B,1
333,C,1.0536909,408.34692,B,1
334,C,1.0446702,418.5306,B,1
335,C,1.0596243,428.7143,B,1
336,C,1.0497872,438.89795,B,1
337,C,1.0533898,449.08163,B,1
338,C,1.056812,459.26532,B,1
339,C,1.0574577,469.44897,B,1
340,C,1.0319909,479.63266,B,1
341,C,1.0732552,489.8163,B,1
342,C,1.0410849,500.0,B,1
343,D,0.635788,11.183674,B,1
344,D,0.7762352,21.367348,B,1
345,D,0.67744875,31.55102,B,1
346,D,0.7582312,41.734695,B,1
347,D,0.851614,51.918365,B,1
348,D,0.8429206,62.10204,B,1
349,D,0.71164536,72.28571,B,1
350,D,0.74860054,82.46939,B,1
351,D,0.9186177,92.65306,B,1
352,D,0.8664426,102.83673,B,1
353,D,0.91735035,113.02041,B,1
354,D,0.9317001,123.20408,B,1
355,D,1.0227317,133.38776,B,1
356,D,1.0455666,143.57143,B,1
357,D,1.010165,153.7551,B,1
358,D,0.95479584,163.93878,B,1
359,D,0.97053003,174.12245,B,1
360,D,1.0142363,184.30612,B,1
361,D,1.0271761,194.48979,B,1
362,D,0.9552212,204.67346,B,1
363,D,1.0076021,214.85715,B,1
364,D,1.0484813,225.04082,B,1
365,D,1.0027999,235.22449,B,1
366,D,0.98311114,245.40816,B,1
367,D,1.0022353,255.59184,B,1
368,D,0.9306932,265.7755,B,1
369,D,0.9350807,275.9592,B,1
370,D,0.9449857,286.14285,B,1
371,D,1.0078455,296.32654,B,1
372,D,0.93577164,306.5102,B,1
373,D,0.9163854,316.69388,B,1
374,D,0.8846671,326.87756,B,1
375,D,0.93228537,337.06122,B,1
376,D,0.8931358,347.2449,B,1
377,D,0.95317364,357.42856,B,1
378,D,0.9071854,367.61224,B,1
379,D,0.86990553,377.79593,B,1
380,D,0.88857514,387.97958,B,1
381,D,0.7990167,398.16327,B,1
382,D,0.79952395,408.34692,B,1
383,D,0.8238879,418.5306,B,1
384,D,0.7296504,428.7143,B,1
385,D,0.80017257,438.89795,B,1
386,D,0.754064,449.08163,B,1
387,D,0.77491534,459.26532,B,1
388,D,0.7534848,469.44897,B,1
389,D,0.7637768,479.63266,B,1
390,D,0.7284989,489.8163,B,1
391,D,0.786549,500.0,B,1
392,A,0.92038065,11.183674,C,1
393,A,0.89917433,21.367348,C,1
394,A,0.9564232,31.55102,C,1
395,A,0.937646,41.734695,C,1
396,A,0.9933058,51.918365,C,1
397,A,0.9237334,62.10204,C,1
398,A,0.9719936,72.28571,C,1
399,A,0.95636314,82.46939,C,1
400,A,1.006675,92.65306,C,1
401,A,0.978339,102.83673,C,1
402,A,0.9763355,113.02041,C,1
403,A,0.97476465,123.20408,C,1
404,A,1.0031172,133.38776,C,1
405,A,1.0299085,143.57143,C,1
406,A,0.9884816,153.7551,C,1
407,A,1.0124487,163.93878,C,1
408,A,0.9977119,174.12245,C,1
409,A,0.99514604,184.30612,C,1
410,A,1.0172646,194.48979,C,1
411,A,1.0100441,204.67346,C,1
412,A,0.99857974,214.85715,C,1
413,A,1.0254499,225.04082,C,1
414,A,1.0002153,235.22449,C,1
415,A,1.0072439,245.40816,C,1
416,A,1.00611,255.59184,C,1
417,A,1.001812,265.7755,C,1
418,A,1.0065316,275.9592,C,1
419,A,0.9873207,286.14285,C,1
420,A,1.0136571,296.32654,C,1
421,A,0.9988221,306.5102,C,1
422,A,0.984335,316.69388,C,1
423,A,0.98757446,326.87756,C,1
424,A,0.9759644,337.06122,C,1
425,A,0.9892222,347.2449,C,1
426,A,0.98209804,357.42856,C,1
427,A,1.0029249,367.61224,C,1
428,A,0.97638613,377.79593,C,1
429,A,0.97858745,387.97958,C,1
430,A,0.9650412,398.16327,C,1
431,A,0.9829761,408.34692,C,1
432,A,0.9749011,418.5306,C,1
433,A,0.9939675,428.7143,C,1
434,A,0.9553111,438.89795,C,1
435,A,0.96263725,449.08163,C,1
436,A,0.9598461,459.26532,C,1
437,A,0.9667421,469.44897,C,1
438,A,0.97772294,479.63266,C,1
439,A,0.94802284,489.8163,C,1
440,A,0.9757923,500.0,C,1
441,B,1.201432,11.183674,C,1
442,B,0.9979375,21.367348,C,1
443,B,1.0917011,31.55102,C,1
444,B,1.1020211,41.734695,C,1
445,B,1.0715172,51.918365,C,1
446,B,1.0914941,62.10204,C,1
447,B,1.1076828,72.28571,C,1
448,B,1.0688194,82.46939,C,1
449,B,1.0320873,92.65306,C,1
450,B,1.0197545,102.83673,C,1
451,B,1.0403595,113.02041,C,1
452,B,1.0414503,123.20408,C,1
453,B,1.0016211,133.38776,C,1
454,B,1.0130123,143.57143,C,1
455,B,0.9771616,153.7551,C,1
456,B,1.0242563,163.93878,C,1
457,B,1.0403645,174.12245,C,1
458,B,0.9999036,184.30612,C,1
459,B,1.0008415,194.48979,C,1
460,B,1.01612,204.67346,C,1
461,B,0.960433,214.85715,C,1
462,B,0.9840493,225.04082,C,1
463,B,0.98692584,235.22449,C,1
464,B,0.99116313,245.40816,C,1
465,B,1.0090852,255.59184,C,1
466,B,0.98651797,265.7755,C,1
467,B,0.9889592,275.9592,C,1
468,B,1.0002038,286.14285,C,1
469,B,1.007931,296.32654,C,1
470,B,1.029064,306.5102,C,1
471,B,1.0309618,316.69388,C,1
472,B,1.0036992,326.87756,C,1
473,B,1.0050461,337.06122,C,1
474,B,1.040659,347.2449,C,1
475,B,1.0113848,357.42856,C,1
476,B,1.0357975,367.61224,C,1
477,B,1.0668434,377.79593,C,1
478,B,1.0515554,387.97958,C,1
479,B,1.0655011,398.16327,C,1
480,B,1.053691,408.34692,C,1
481,B,1.0446701,418.5306,C,1
482,B,1.0596246,428.7143,C,1
483,B,1.0497872,438.89795,C,1
484,B,1.0533897,449.08163,C,1
485,B,1.0568119,459.26532,C,1
486,B,1.0574577,469.44897,C,1
487,B,1.0319908,479.63266,C,1
488,B,1.0732551,489.8163,C,1
489,B,1.0410848,500.0,C,1
490,C,1.2220516,11.183674,C,1
491,C,1.3106136,21.367348,C,1
492,C,1.1787992,31.55102,C,1
493,C,1.2049875,41.734695,C,1
494,C,1.1501678,51.918365,C,1
495,C,1.1841178,62.10204,C,1
496,C,1.1355878,72.28571,C,1
497,C,1.1396813,82.46939,C,1
498,C,1.1109612,92.65306,C,1
499,C,1.1393468,102.83673,C,1
500,C,1.1143028,113.02041,C,1
501,C,1.1158036,123.20408,C,1
502,C,1.0927913,133.38776,C,1
503,C,1.0479515,143.57143,C,1
504,C,1.0949869,153.7551,C,1
505,C,1.0503553,163.93878,C,1
506,C,1.0490612,174.12245,C,1
507,C,1.0599606,184.30612,C,1
508,C,1.031754,194.48979,C,1
509,C,1.0299816,204.67346,C,1
510,C,1.0455812,214.85715,C,1
511,C,1.0117946,225.04082,C,1
512,C,1.0286821,235.22449,C,1
513,C,1.0254425,245.40816,C,1
514,C,1.020106,255.59184,C,1
515,C,1.0220103,265.7755,C,1
516,C,1.0125445,275.9592,C,1
517,C,1.0293881,286.14285,C,1
518,C,0.99436885,296.32654,C,1
519,C,0.9944599,306.5102,C,1
520,C,1.0139778,316.69388,C,1
521,C,1.016449,326.87756,C,1
522,C,1.023653,337.06122,C,1
523,C,0.9960295,347.2449,C,1
524,C,1.0004841,357.42856,C,1
525,C,0.9799497,367.61224,C,1
526,C,0.9934732,377.79593,C,1
527,C,0.99490076,387.97958,C,1
528,C,0.98949414,398.16327,C,1
529,C,0.9826375,408.34692,C,1
530,C,0.9915853,418.5306,C,1
531,C,0.96263593,428.7143,C,1
532,C,1.0025713,438.89795,C,1
533,C,0.98651487,449.08163,C,1
534,C,0.9942516,459.26532,C,1
535,C,0.975937,469.44897,C,1
536,C,0.97966725,479.63266,C,1
537,C,0.98754925,489.8163,C,1
538,C,0.97004896,500.0,C,1
539,D,0.26122594,11.183674,C,1
540,D,0.31955227,21.367348,C,1
541,D,0.46446294,31.55102,C,1
542,D,0.4304558,41.734695,C,1
543,D,0.45127702,51.918365,C,1
544,D,0.52031964,62.10204,C,1
545,D,0.5369207,72.28571,C,1
546,D,0.600597,82.46939,C,1
547,D,0.5828898,92.65306,C,1
548,D,0.5890858,102.83673,C,1
549,D,0.66258204,113.02041,C,1
550,D,0.6407235,123.20408,C,1
551,D,0.68721926,133.38776,C,1
552,D,0.7357588,143.57143,C,1
553,D,0.74459606,153.7551,C,1
554,D,0.75875646,163.93878,C,1
555,D,0.7808237,174.12245,C,1
556,D,0.8018187,184.30612,C,1
557,D,0.82632315,194.48979,C,1
558,D,0.83276623,204.67346,C,1
559,D,0.89147305,214.85715,C,1
560,D,0.888826,225.04082,C,1
561,D,0.9129748,235.22449,C,1
562,D,0.89082336,245.40816,C,1
563,D,0.8921078,255.59184,C,1
564,D,0.92948717,265.7755,C,1
565,D,0.94602007,275.9592,C,1
566,D,0.9298407,286.14285,C,1
567,D,0.96285,296.32654,C,1
568,D,0.98324955,306.5102,C,1
569,D,0.95410633,316.69388,C,1
570,D,0.97346425,326.87756,C,1
571,D,0.98389786,337.06122,C,1
572,D,0.99305844,347.2449,C,1
573,D,1.0418974,357.42856,C,1
574,D,1.0139376,367.61224,C,1
575,D,1.0085461,377.79593,C,1
576,D,1.0192274,387.97958,C,1
577,D,1.063835,398.16327,C,1
578,D,1.0463312,408.34692,C,1
579,D,1.0522354,418.5306,C,1
580,D,1.0744022,428.7143,C,1
581,D,1.0662916,438.89795,C,1
582,D,1.0970138,449.08163,C,1
583,D,1.072391,459.26532,C,1
584,D,1.1181483,469.44897,C,1
585,D,1.1031042,479.63266,C,1
586,D,1.1109766,489.8163,C,1
587,D,1.1271946,500.0,C,1
588,A,1.1205266,11.183674,D,1
589,A,1.084465,21.367348,D,1
590,A,1.119116,31.55102,D,1
591,A,1.1605704,41.734695,D,1
592,A,1.0873168,51.918365,D,1
593,A,1.1045674,62.10204,D,1
594,A,1.0930682,72.28571,D,1
595,A,1.0910785,82.46939,D,1
596,A,1.0746139,92.65306,D,1
597,A,1.0637656,102.83673,D,1
598,A,1.0475117,113.02041,D,1
599,A,1.0293528,123.20408,D,1
600,A,0.9984989,133.38776,D,1
601,A,0.97433686,143.57143,D,1
602,A,0.9991292,153.7551,D,1
603,A,0.99856764,163.93878,D,1
604,A,1.0098723,174.12245,D,1
605,A,1.0011823,184.30612,D,1
606,A,0.9885852,194.48979,D,1
607,A,1.0372845,204.67346,D,1
608,A,1.0430034,214.85715,D,1
609,A,0.9577649,225.04082,D,1
610,A,1.0060918,235.22449,D,1
611,A,1.0105958,245.40816,D,1
612,A,0.978496,255.59184,D,1
613,A,1.0546168,265.7755,D,1
614,A,0.9925702,275.9592,D,1
615,A,1.0278566,286.14285,D,1
616,A,0.9945427,296.32654,D,1
617,A,1.027372,306.5102,D,1
618,A,1.0367758,316.69388,D,1
619,A,1.0182127,326.87756,D,1
620,A,1.0256238,337.06122,D,1
621,A,1.0489261,347.2449,D,1
622,A,1.032969,357.42856,D,1
623,A,1.0689323,367.61224,D,1
624,A,1.0887352,377.79593,D,1
625,A,1.0776094,387.97958,D,1
626,A,1.0883793,398.16327,D,1
627,A,1.114945,408.34692,D,1
628,A,1.1003278,418.5306,D,1
629,A,1.1301627,428.7143,D,1
630,A,1.1288749,438.89795,D,1
631,A,1.1185203,449.08163,D,1
632,A,1.1214439,459.26532,D,1
633,A,1.0978339,469.44897,D,1
634,A,1.109468,479.63266,D,1
635,A,1.1034933,489.8163,D,1
636,A,1.055631,500.0,D,1
637,B,0.63578796,11.183674,D,1
638,B,0.7762352,21.367348,D,1
639,B,0.67744887,31.55102,D,1
640,B,0.7582313,41.734695,D,1
641,B,0.851614,51.918365,D,1
642,B,0.8429206,62.10204,D,1
643,B,0.7116453,72.28571,D,1
644,B,0.74860054,82.46939,D,1
645,B,0.9186177,92.65306,D,1
646,B,0.8664426,102.83673,D,1
647,B,0.9173505,113.02041,D,1
648,B,0.93170017,123.20408,D,1
649,B,1.0227315,133.38776,D,1
650,B,1.0455666,143.57143,D,1
651,B,1.010165,153.7551,D,1
652,B,0.9547959,163.93878,D,1
653,B,0.97053003,174.12245,D,1
654,B,1.0142362,184.30612,D,1
655,B,1.0271761,194.48979,D,1
656,B,0.9552211,204.67346,D,1
657,B,1.0076022,214.85715,D,1
658,B,1.0484815,225.04082,D,1
659,B,1.0027997,235.22449,D,1
660,B,0.9831113,245.40816,D,1
661,B,1.0022353,255.59184,D,1
662,B,0.9306931,265.7755,D,1
663,B,0.9350806,275.9592,D,1
664,B,0.9449857,286.14285,D,1
665,B,1.0078454,296.32654,D,1
666,B,0.93577164,306.5102,D,1
667,B,0.91638553,316.69388,D,1
668,B,0.88466704,326.87756,D,1
669,B,0.93228537,337.06122,D,1
670,B,0.8931358,347.2449,D,1
671,B,0.9531737,357.42856,D,1
672,B,0.90718544,367.61224,D,1
673,B,0.8699055,377.79593,D,1
674,B,0.8885751,387.97958,D,1
675,B,0.7990167,398.16327,D,1
676,B,0.79952395,408.34692,D,1
677,B,0.8238878,418.5306,D,1
678,B,0.72965044,428.7143,D,1
