,neighbor,probability,distance,reference,id,perm
243,CD8 Memory T cells,,520.97296,"B cells, red pulp",0,1
244,CD8 Memory T cells,,544.6081,"B cells, red pulp",0,1
245,CD8 Memory T cells,,568.2432,"B cells, red pulp",0,1
246,CD8 Memory T cells,,591.87836,"B cells, red pulp",0,1
247,CD8 Memory T cells,,615.5135,"B cells, red pulp",0,1
248,CD8 Memory T cells,,639.1486,"B cells, red pulp",0,1
249,CD8 Memory T cells,,662.7838,"B cells, red pulp",0,1
250,CD8 Memory T cells,,686.41895,"B cells, red pulp",0,1
251,CD8 Memory T cells,,710.0541,"B cells, red pulp",0,1
252,CD8 Memory T cells,,733.6892,"B cells, red pulp",0,1
253,CD8 Memory T cells,,757.32434,"B cells, red pulp",0,1
254,CD8 Memory T cells,,780.9595,"B cells, red pulp",0,1
255,CD8 Memory T cells,,804.5946,"B cells, red pulp",0,1
256,CD8 Memory T cells,,828.22974,"B cells, red pulp",0,1
257,CD8 Memory T cells,,851.86487,"B cells, red pulp",0,1
258,CD8 Memory T cells,,875.5,"B cells, red pulp",0,1
259,CD8 Memory T cells,,899.13513,"B cells, red pulp",0,1
260,CD8 Memory T cells,,922.77026,"B cells, red pulp",0,1
261,CD8 Memory T cells,,946.4054,"B cells, red pulp",0,1
262,CD8 Memory T cells,,970.0405,"B cells, red pulp",0,1
263,CD8 Memory T cells,,993.67566,"B cells, red pulp",0,1
264,CD8 Memory T cells,,1017.3108,"B cells, red pulp",0,1
265,CD8 Memory T cells,,1040.9459,"B cells, red pulp",0,1
266,CD8 Memory T cells,,1064.581,"B cells, red pulp",0,1
267,CD8 Memory T cells,,1088.2162,"B cells, red pulp",0,1
268,CD8 Memory T cells,,1111.8513,"B cells, red pulp",0,1
269,CD8 Memory T cells,,1135.4865,"B cells, red pulp",0,1
270,CD8 Memory T cells,,1159.1216,"B cells, red pulp",0,1
271,CD8 Memory T cells,,1182.7567,"B cells, red pulp",0,1
