,neighbor,Z,scale,reference,id,perm
193,D,1.0456626,1346.5212,A,0,1
194,D,1.0545616,1374.6367,A,0,1
195,D,1.0638493,1402.7522,A,0,1
196,A,1.076794,53.210125,B,0,1
197,A,1.6685108,81.325584,B,0,1
198,A,2.2370653,109.44105,B,0,1
199,A,2.7391973,137.5565,B,0,1
200,A,3.0929518,165.67197,B,0,1
201,A,3.4531593,193.78743,B,0,1
202,A,3.4286253,221.90288,B,0,1
203,A,2.96271,250.01834,B,0,1
204,A,2.3445213,278.1338,B,0,1
205,A,1.7088224,306.24927,B,0,1
206,A,1.1750907,334.36472,B,0,1
207,A,0.6310198,362.4802,B,0,1
208,A,0.20542853,390.59564,B,0,1
209,A,0.0049518845,418.7111,B,0,1
210,A,0.0,446.82657,B,0,1
211,A,0.0,474.94202,B,0,1
212,A,0.0,503.0575,B,0,1
213,A,0.0,531.1729,B,0,1
214,A,0.0,559.2884,B,0,1
215,A,0.0,587.4039,B,0,1
216,A,0.00079038815,615.51935,B,0,1
217,A,0.03899594,643.63477,B,0,1
218,A,0.18026684,671.75024,B,0,1
219,A,0.3554201,699.8657,B,0,1
220,A,0.58528036,727.98114,B,0,1
221,A,0.89654833,756.0966,B,0,1
222,A,1.1743991,784.2121,B,0,1
223,A,1.4692887,812.3275,B,0,1
224,A,1.6400108,840.443,B,0,1
225,A,1.714852,868.5585,B,0,1
226,A,1.7199401,896.67395,B,0,1
227,A,1.6452101,924.78937,B,0,1
228,A,1.5568944,952.90485,B,0,1
229,A,1.4613041,981.0203,B,0,1
230,A,1.402914,1009.13574,B,0,1
231,A,1.4137558,1037.2512,B,0,1
232,A,1.4117464,1065.3667,B,0,1
233,A,1.506346,1093.4822,B,0,1
234,A,1.5848515,1121.5977,B,0,1
235,A,1.6446338,1149.713,B,0,1
236,A,1.6825417,1177.8285,B,0,1
237,A,1.6068283,1205.944,B,0,1
238,A,1.4451871,1234.0594,B,0,1
239,A,1.2316208,1262.1749,B,0,1
240,A,1.0212078,1290.2904,B,0,1
241,A,0.81055063,1318.4058,B,0,1
242,A,0.6392026,1346.5212,B,0,1
243,A,0.51254636,1374.6367,B,0,1
244,A,0.4441535,1402.7522,B,0,1
245,B,22.598516,53.210125,B,0,1
246,B,16.505823,81.325584,B,0,1
247,B,12.42086,109.44105,B,0,1
248,B,7.4465837,137.5565,B,0,1
249,B,4.494234,165.67197,B,0,1
250,B,1.0541035,193.78743,B,0,1
251,B,0.010124275,221.90288,B,0,1
252,B,0.0,250.01834,B,0,1
253,B,0.0,278.1338,B,0,1
254,B,0.0,306.24927,B,0,1
255,B,0.0,334.36472,B,0,1
256,B,0.0,362.4802,B,0,1
257,B,0.0,390.59564,B,0,1
258,B,0.0,418.7111,B,0,1
259,B,0.0,446.82657,B,0,1
260,B,0.0,474.94202,B,0,1
261,B,0.0,503.0575,B,0,1
262,B,0.0,531.1729,B,0,1
263,B,0.0,559.2884,B,0,1
264,B,0.0,587.4039,B,0,1
265,B,0.0,615.51935,B,0,1
266,B,0.0,643.63477,B,0,1
267,B,0.0,671.75024,B,0,1
268,B,0.0,699.8657,B,0,1
269,B,0.0,727.98114,B,0,1
270,B,0.0,756.0966,B,0,1
271,B,0.0,784.2121,B,0,1
272,B,0.0,812.3275,B,0,1
273,B,0.12397525,840.443,B,0,1
274,B,0.985935,868.5585,B,0,1
275,B,1.8330144,896.67395,B,0,1
276,B,2.796538,924.78937,B,0,1
277,B,3.5853922,952.90485,B,0,1
278,B,4.0862904,981.0203,B,0,1
279,B,4.2094183,1009.13574,B,0,1
280,B,3.8364367,1037.2512,B,0,1
281,B,3.1593294,1065.3667,B,0,1
282,B,2.1585839,1093.4822,B,0,1
283,B,1.4391975,1121.5977,B,0,1
284,B,0.70153445,1149.713,B,0,1
285,B,0.24750704,1177.8285,B,0,1
286,B,0.027910445,1205.944,B,0,1
287,B,0.01317253,1234.0594,B,0,1
288,B,0.10878052,1262.1749,B,0,1
289,B,0.31595305,1290.2904,B,0,1
290,B,0.551597,1318.4058,B,0,1
291,B,0.7940818,1346.5212,B,0,1
292,B,1.0977287,1374.6367,B,0,1
293,B,1.1617262,1402.7522,B,0,1
294,C,22.228743,53.210125,B,0,1
295,C,17.903463,81.325584,B,0,1
296,C,11.98528,109.44105,B,0,1
297,C,8.236346,137.5565,B,0,1
298,C,4.3567,165.67197,B,0,1
299,C,1.1608224,193.78743,B,0,1
300,C,0.017646452,221.90288,B,0,1
301,C,0.0,250.01834,B,0,1
302,C,0.0,278.1338,B,0,1
303,C,0.0,306.24927,B,0,1
304,C,0.0,334.36472,B,0,1
305,C,0.0,362.4802,B,0,1
306,C,0.0,390.59564,B,0,1
307,C,0.0,418.7111,B,0,1
308,C,0.0,446.82657,B,0,1
309,C,0.0,474.94202,B,0,1
310,C,0.0,503.0575,B,0,1
311,C,0.0,531.1729,B,0,1
312,C,0.0,559.2884,B,0,1
313,C,0.0,587.4039,B,0,1
314,C,0.0,615.51935,B,0,1
315,C,0.0,643.63477,B,0,1
316,C,0.0,671.75024,B,0,1
317,C,0.0,699.8657,B,0,1
318,C,0.0,727.98114,B,0,1
319,C,0.0,756.0966,B,0,1
320,C,0.0,784.2121,B,0,1
321,C,0.0,812.3275,B,0,1
322,C,0.13630441,840.443,B,0,1
323,C,0.77600247,868.5585,B,0,1
324,C,1.4773442,896.67395,B,0,1
325,C,2.3836343,924.78937,B,0,1
326,C,3.272556,952.90485,B,0,1
327,C,3.9423594,981.0203,B,0,1
328,C,4.35453,1009.13574,B,0,1
329,C,3.9605744,1037.2512,B,0,1
330,C,3.47274,1065.3667,B,0,1
331,C,2.4547534,1093.4822,B,0,1
332,C,1.4957739,1121.5977,B,0,1
333,C,0.92079675,1149.713,B,0,1
334,C,0.32804015,1177.8285,B,0,1
335,C,0.03026902,1205.944,B,0,1
336,C,0.010515842,1234.0594,B,0,1
337,C,0.081215,1262.1749,B,0,1
338,C,0.23982506,1290.2904,B,0,1
339,C,0.44952315,1318.4058,B,0,1
340,C,0.67268497,1346.5212,B,0,1
341,C,0.93722856,1374.6367,B,0,1
342,C,1.097513,1402.7522,B,0,1
343,D,0.0,53.210125,B,0,1
344,D,0.0,81.325584,B,0,1
345,D,0.0,109.44105,B,0,1
346,D,0.0,137.5565,B,0,1
347,D,0.0,165.67197,B,0,1
348,D,0.0,193.78743,B,0,1
349,D,0.03440969,221.90288,B,0,1
350,D,0.21745075,250.01834,B,0,1
351,D,0.46715447,278.1338,B,0,1
352,D,0.7429846,306.24927,B,0,1
353,D,0.9819309,334.36472,B,0,1
354,D,1.222494,362.4802,B,0,1
355,D,1.4079236,390.59564,B,0,1
356,D,1.4874195,418.7111,B,0,1
357,D,1.4851776,446.82657,B,0,1
358,D,1.4767432,474.94202,B,0,1
359,D,1.4666475,503.0575,B,0,1
360,D,1.4584318,531.1729,B,0,1
361,D,1.4465374,559.2884,B,0,1
362,D,1.4359428,587.4039,B,0,1
363,D,1.4233443,615.51935,B,0,1
364,D,1.3964915,643.63477,B,0,1
365,D,1.3341774,671.75024,B,0,1
366,D,1.2621244,699.8657,B,0,1
367,D,1.1766559,727.98114,B,0,1
368,D,1.0709939,756.0966,B,0,1
369,D,0.9826989,784.2121,B,0,1
370,D,0.8940809,812.3275,B,0,1
371,D,0.8390405,840.443,B,0,1
372,D,0.78975266,868.5585,B,0,1
373,D,0.7580478,896.67395,B,0,1
374,D,0.74249154,924.78937,B,0,1
375,D,0.7338116,952.90485,B,0,1
376,D,0.73650146,981.0203,B,0,1
377,D,0.73656785,1009.13574,B,0,1
378,D,0.74287623,1037.2512,B,0,1
379,D,0.7641257,1065.3667,B,0,1
380,D,0.76841545,1093.4822,B,0,1
381,D,0.7708282,1121.5977,B,0,1
382,D,0.7727569,1149.713,B,0,1
383,D,0.77525324,1177.8285,B,0,1
384,D,0.8086323,1205.944,B,0,1
385,D,0.86975646,1234.0594,B,0,1
386,D,0.9525604,1262.1749,B,0,1
387,D,1.0322295,1290.2904,B,0,1
388,D,1.111291,1318.4058,B,0,1
389,D,1.1724846,1346.5212,B,0,1
390,D,1.2079122,1374.6367,B,0,1
391,D,1.2266793,1402.7522,B,0,1
392,A,1.1033885,53.210125,C,0,1
393,A,1.6249399,81.325584,C,0,1
394,A,2.2510345,109.44105,C,0,1
395,A,2.682003,137.5565,C,0,1
396,A,3.10583,165.67197,C,0,1
397,A,3.4331758,193.78743,C,0,1
398,A,3.432161,221.90288,C,0,1
399,A,2.9198072,250.01834,C,0,1
400,A,2.3181174,278.1338,C,0,1
401,A,1.7352973,306.24927,C,0,1
402,A,1.1675986,334.36472,C,0,1
403,A,0.66684574,362.4802,C,0,1
404,A,0.20997651,390.59564,C,0,1
405,A,0.0070032594,418.7111,C,0,1
406,A,0.0,446.82657,C,0,1
407,A,0.0,474.94202,C,0,1
408,A,0.0,503.0575,C,0,1
409,A,0.0,531.1729,C,0,1
410,A,0.0,559.2884,C,0,1
411,A,0.0,587.4039,C,0,1
412,A,0.0009549772,615.51935,C,0,1
413,A,0.03652386,643.63477,C,0,1
414,A,0.14865324,671.75024,C,0,1
415,A,0.2977814,699.8657,C,0,1
416,A,0.51280165,727.98114,C,0,1
417,A,0.8031246,756.0966,C,0,1
418,A,1.1219449,784.2121,C,0,1
419,A,1.4232788,812.3275,C,0,1
420,A,1.601634,840.443,C,0,1
421,A,1.7001001,868.5585,C,0,1
422,A,1.7181658,896.67395,C,0,1
423,A,1.7147639,924.78937,C,0,1
424,A,1.5954084,952.90485,C,0,1
